word,definition,grade
scientists,People who study science,5th
shape,The form of an object,5th
shown,Past participle of "show",5th
six,The number 6,5th
size,How big or small something is,5th
special,Different in a good way or important,5th
stars,Objects in space that shine light,5th
stay,To remain in one place,5th
stood,Past tense of "stand",5th
street,A road in a town or city,5th
strong,Having great power or strength,5th
surface,The outside or top layer of something,5th
system,A group of parts working together,5th
ten,The number 10,5th
though,Even if or however,5th 
understand,To know the meaning of something,5th
verb,A word that shows an action,5th
wait,To stay in place until something happens,5th
warm,Having a moderate temperature,5th
week,A period of seven days,5th
wheels,Round objects that help things move,5th
yes,Used to agree or say "correct",5th
yet,Up to now or at this time,5th
arms,The upper limbs of the body,6th
beautiful,Pleasing to the senses or mind,6th
believe,To accept as true or real,6th
beside,Next to or by the side of,6th
bill,A statement of money owed or a bird's beak,6th
blue,A color like the sky on a clear day,6th
brother,A male sibling,6th
can’t,Contraction of "cannot",6th
cause,The reason something happens,6th
cells,The smallest units of life,6th
center,The middle point or area,6th
clothes,Garments worn on the body,6th
dance,To move rhythmically to music,6th
describe,To explain what something is like,6th
developed,To grow or improve,6th
difference,The way in which things are not the same,6th
direction,A course or path along which something moves,6th
discovered,Found something for the first time,6th
distance,The amount of space between two points,6th
divided,Separated into parts,6th
drive,To operate a vehicle or move something forward,6th
drop,A small amount of liquid or to let something fall,6th
edge,The boundary or border of something,6th
energy,The ability to do work,6th
Europe,A continent located to the east of the Atlantic Ocean,6th
exercise,Physical activity to stay healthy,6th
farmers,People who grow crops or raise animals for food,6th
felt,Past tense of "feel",6th
finished,Completed or done,6th
flowers,The colorful part of a plant that produces seeds,6th
forest,A large area covered with trees,6th
general,Relating to most people or things,6th
gone,No longer present or here,6th
grass,A green plant that covers the ground,6th
happy,Feeling joy or pleasure,6th
heart,An organ that pumps blood in the body,6th
held,Past tense of "hold",6th
instruments,Tools or devices used for a purpose,6th
interest,A feeling of curiosity or concern,6th
job,A task or work someone does for pay,6th
kept,Past tense of "keep",6th
lay,To place something down,6th
legs,The limbs used for walking or standing,6th
length,The measurement of something from end to end,6th
love,A deep feeling of affection,6th
main,The most important or central part,6th
matter,Anything that takes up space,6th
meet,To come together with someone,6th
members,People who belong to a group,6th
mind,The part of a person that thinks and feels,6th
months,Periods of about 30 days,6th
moon,A natural satellite of a planet,6th
paint,A colored substance applied to surfaces,6th
paragraph,A group of sentences about one idea,6th
past,A time before now,6th
perhaps,Maybe or possibly,6th
picked,Took something using fingers or hands,6th
present,Existing now or a gift,6th
probably,Most likely to happen,6th
race,A competition to be the fastest,6th
rain,Water that falls from the sky,6th
raised,Brought up or lifted,6th
ready,Prepared for something,6th
reason,A cause or explanation for something,6th
record,To write down or store information,6th
region,A specific area or part of the world,6th
represent,To stand for or symbolize,6th
return,To go back to a place,6th
root,The part of a plant that grows underground,6th
sat,Past tense of "sit",6th
shall,Indicating future action or intention,6th
sign,A symbol or gesture that conveys meaning,6th
simple,Easy to understand or do,6th
site,A location or place,6th
sky,The space above the Earth,6th
soft,Not hard or firm,6th
square,A shape with four equal sides,6th
store,A place where things are sold,6th
subject,A topic of discussion or study,6th
suddenly,Quickly and unexpectedly,6th
sum,The result of adding numbers,6th
summer,The warmest season of the year,6th
syllables,Units of sound in a word,6th
teacher,A person who educates others,6th
test,A way to measure knowledge or ability,6th
third,The position after second,6th
train,A connected series of vehicles on rails,6th
wall,A vertical structure that divides spaces,6th
weather,Conditions in the atmosphere,6th
west,The direction where the sun sets,6th
whether,Expressing doubt between options,6th
wide,Extending a great distance,6th
wild,Living in nature and not controlled by humans,6th
window,An opening in a wall for light or air,6th
winter,The coldest season of the year,6th
wish,To want something to happen,6th
written,Expressed in writing,6th
